date,deviceId,soilTemperature,soilConductivity,soilWaterContent,battery
Tue Dec 17 2024 02:12:46 GMT+0100 (Mitteleuropäische Normalzeit),,18.71,0,0,
Tue Dec 17 2024 02:12:50 GMT+0100 (Mitteleuropäische Normalzeit),,18.42,0,0,
Tue Dec 17 2024 02:13:16 GMT+0100 (Mitteleuropäische Normalzeit),,18.71,0,0,
Tue Dec 17 2024 02:13:41 GMT+0100 (Mitteleuropäische Normalzeit),,18.59,0,0,
Tue Dec 17 2024 02:13:46 GMT+0100 (Mitteleuropäische Normalzeit),,18.71,0,0,
Tue Dec 17 2024 02:13:50 GMT+0100 (Mitteleuropäische Normalzeit),,18.42,0,0,
Tue Dec 17 2024 02:14:16 GMT+0100 (Mitteleuropäische Normalzeit),,18.71,0,0,
Tue Dec 17 2024 02:14:41 GMT+0100 (Mitteleuropäische Normalzeit),,18.58,0,0,
Tue Dec 17 2024 02:14:46 GMT+0100 (Mitteleuropäische Normalzeit),,18.71,0,0,
Tue Dec 17 2024 02:14:50 GMT+0100 (Mitteleuropäische Normalzeit),,18.42,0,0,
Tue Dec 17 2024 02:15:16 GMT+0100 (Mitteleuropäische Normalzeit),,18.71,0,0,
Tue Dec 17 2024 02:15:41 GMT+0100 (Mitteleuropäische Normalzeit),,18.58,0,0,
Tue Dec 17 2024 02:15:46 GMT+0100 (Mitteleuropäische Normalzeit),,18.71,0,0,
Tue Dec 17 2024 02:15:50 GMT+0100 (Mitteleuropäische Normalzeit),,18.42,0,0,
Tue Dec 17 2024 02:16:16 GMT+0100 (Mitteleuropäische Normalzeit),,18.71,0,0,
Tue Dec 17 2024 02:16:41 GMT+0100 (Mitteleuropäische Normalzeit),,18.58,0,0,
Tue Dec 17 2024 02:16:46 GMT+0100 (Mitteleuropäische Normalzeit),,18.71,0,0,
Tue Dec 17 2024 02:16:50 GMT+0100 (Mitteleuropäische Normalzeit),,18.42,0,0,
Tue Dec 17 2024 02:17:16 GMT+0100 (Mitteleuropäische Normalzeit),,18.7,0,0,
Tue Dec 17 2024 02:17:41 GMT+0100 (Mitteleuropäische Normalzeit),,18.58,0,0,
Tue Dec 17 2024 02:17:46 GMT+0100 (Mitteleuropäische Normalzeit),,18.71,0,0,
Tue Dec 17 2024 02:17:50 GMT+0100 (Mitteleuropäische Normalzeit),,18.42,0,0,
Tue Dec 17 2024 02:18:16 GMT+0100 (Mitteleuropäische Normalzeit),,18.7,0,0,
Tue Dec 17 2024 02:18:41 GMT+0100 (Mitteleuropäische Normalzeit),,18.58,0,0,
Tue Dec 17 2024 02:18:46 GMT+0100 (Mitteleuropäische Normalzeit),,18.71,0,0,
Tue Dec 17 2024 02:18:50 GMT+0100 (Mitteleuropäische Normalzeit),,18.42,0,0,
Tue Dec 17 2024 02:19:16 GMT+0100 (Mitteleuropäische Normalzeit),,18.7,0,0,
Tue Dec 17 2024 02:19:41 GMT+0100 (Mitteleuropäische Normalzeit),,18.58,0,0,
Tue Dec 17 2024 02:19:46 GMT+0100 (Mitteleuropäische Normalzeit),,18.71,0,0,
Tue Dec 17 2024 02:19:50 GMT+0100 (Mitteleuropäische Normalzeit),,18.42,0,0,
Tue Dec 17 2024 02:20:16 GMT+0100 (Mitteleuropäische Normalzeit),,18.7,0,0,
Tue Dec 17 2024 02:20:41 GMT+0100 (Mitteleuropäische Normalzeit),,18.58,0,0,
Tue Dec 17 2024 02:20:46 GMT+0100 (Mitteleuropäische Normalzeit),,18.7,0,0,
Tue Dec 17 2024 02:20:50 GMT+0100 (Mitteleuropäische Normalzeit),,18.42,0,0,
Tue Dec 17 2024 02:21:16 GMT+0100 (Mitteleuropäische Normalzeit),,18.7,0,0,
Tue Dec 17 2024 02:21:41 GMT+0100 (Mitteleuropäische Normalzeit),,18.58,0,0,
Tue Dec 17 2024 02:21:46 GMT+0100 (Mitteleuropäische Normalzeit),,18.7,0,0,
Tue Dec 17 2024 02:21:50 GMT+0100 (Mitteleuropäische Normalzeit),,18.42,0,0,
Tue Dec 17 2024 02:22:16 GMT+0100 (Mitteleuropäische Normalzeit),,18.7,0,0,
Tue Dec 17 2024 02:22:41 GMT+0100 (Mitteleuropäische Normalzeit),,18.58,0,0,
Tue Dec 17 2024 02:22:50 GMT+0100 (Mitteleuropäische Normalzeit),,18.42,0,0,
Tue Dec 17 2024 02:22:51 GMT+0100 (Mitteleuropäische Normalzeit),,18.7,0,0,
Tue Dec 17 2024 02:23:20 GMT+0100 (Mitteleuropäische Normalzeit),,18.7,0,0,
Tue Dec 17 2024 02:23:41 GMT+0100 (Mitteleuropäische Normalzeit),,18.58,0,0,
Tue Dec 17 2024 02:23:50 GMT+0100 (Mitteleuropäische Normalzeit),,18.7,0,0,
Tue Dec 17 2024 02:23:50 GMT+0100 (Mitteleuropäische Normalzeit),,18.42,0,0,
Tue Dec 17 2024 02:24:20 GMT+0100 (Mitteleuropäische Normalzeit),,18.7,0,0,
Tue Dec 17 2024 02:24:41 GMT+0100 (Mitteleuropäische Normalzeit),,18.58,0,0,
Tue Dec 17 2024 02:24:50 GMT+0100 (Mitteleuropäische Normalzeit),,18.7,0,0,
Tue Dec 17 2024 02:24:50 GMT+0100 (Mitteleuropäische Normalzeit),,18.42,0,0,
Tue Dec 17 2024 02:25:20 GMT+0100 (Mitteleuropäische Normalzeit),,18.7,0,0,
